rank,company_name,company_link,country,company_background,company_info,unicorn_joined_date,unicorn_joined_year,sector,city,stage,founded_year,time_to_unicorn,months_to_unicorn,round_led_by,top_investor_1,top_investor_2,top_investors,valuation_usd_bn,total_funding_usd_mn,annual_revenue_cr,employees,latest_round,round_stage,round_year,round_amount_mn,embedding_text
118,Juspay,https://tracxn.com/d/companies/juspay/__fDjQyojq6Uh_DeW1pRNecBKAdkkLtN01Ccml4wlD_dk,India,"Provider of a global payments operating system. It offers payment orchestration, enabling real-time transaction optimization and integration with various payment service providers. The system facilitates recurring payments, optimizing revenue and retention through features like real-time card updates and smart retries. A customizable checkout experience is provided to maximize conversions, along with 3DS authentication for enhanced security and fraud reduction. Network tokenization improves acceptance rates and lowers processing fees. The platform also includes payout capabilities for various methods and a no-code offers engine for managing customer promotions. It provides tools for reconciliation, dispute management, and detailed performance analytics.","Juspay joined the Unicorn Club on Apr 07, 2025 after raising a Undisclosed Series D funding round led by .",2025-04-07,2025,fintech,bangalore,Series D,2012,13 years 3 months,159,Kedaara,Wellington,Kedaara,"Wellington, Kedaara",0.379,88.0,348.0,1015.0,"Series D, Apr 07, 2025",Series D,2025,,"Juspay is an Indian unicorn startup. It operates in the fintech sector. It is based in Bangalore. Current stage: Series D. Provider of a global payments operating system. It offers payment orchestration, enabling real-time transaction optimization and integration with various payment service providers. The system facilitates recurring payments, optimizing revenue and retention through features like real-time card updates and smart retries. A customizable checkout experience is provided to maximize conversions, along with 3DS authentication for enhanced security and fraud reduction. Network tokenization improves acceptance rates and lowers processing fees. The platform also includes payout capabilities for various methods and a no-code offers engine for managing customer promotions. It provides tools for reconciliation, dispute management, and detailed performance analytics. Juspay joined the Unicorn Club on Apr 07, 2025 after raising a Undisclosed Series D funding round led by . Founded in 2012. Time taken to reach unicorn status: 13 years 3 months. Joined the unicorn club on 2025-04-07. Became a unicorn in 2025. Investors include Wellington, Kedaara, latest round led by Kedaara. Valuation: 0.379 billion USD. Total funding raised: 88.0 million USD. Annual revenue: 348.0 crore INR. It employs approximately 1015 people. Latest funding round: Series D. The round took place in 2025."
117,Money View,https://tracxn.com/d/companies/money-view/__NRQRmOVRDpuHzMRCzk3qauzM76P31UNYUzYAnXXZSD0,India,"Provider of digital financial services including loans, investments, and insurance. It offers a suite of personalized financial products accessible through a mobile application. These products encompass personal loans, home loans, business loans, loans secured by property, credit cards, fixed deposits, gold investments, and motor insurance. The platform also incorporates a credit tracker for users to monitor their credit behavior. The company leverages technology to streamline the application and management of these financial services.","Money View joined the Unicorn Club on Sep 12, 2024 after raising a $4.65M Series E funding round led by , , valuing it at $1.21B.",2024-09-12,2024,fintech,bangalore,Series E,2014,10 years 8 months,128,Accel,Accel,Nexus Venture Partners,"Accel, Nexus Venture Partners",1.11,220.0,1390.0,709.0,"Series E, Sep 12, 2024, $4.65M",Series E,2024,4.7,"Money View is an Indian unicorn startup. It operates in the fintech sector. It is based in Bangalore. Current stage: Series E. Provider of digital financial services including loans, investments, and insurance. It offers a suite of personalized financial products accessible through a mobile application. These products encompass personal loans, home loans, business loans, loans secured by property, credit cards, fixed deposits, gold investments, and motor insurance. The platform also incorporates a credit tracker for users to monitor their credit behavior. The company leverages technology to streamline the application and management of these financial services. Money View joined the Unicorn Club on Sep 12, 2024 after raising a $4.65M Series E funding round led by , , valuing it at $1.21B. Founded in 2014. Time taken to reach unicorn status: 10 years 8 months. Joined the unicorn club on 2024-09-12. Became a unicorn in 2024. Investors include Accel, Nexus Venture Partners, latest round led by Accel. Valuation: 1.11 billion USD. Total funding raised: 220.0 million USD. Annual revenue: 1390.0 crore INR. It employs approximately 709 people. Latest funding round: Series E. The round took place in 2024. Round amount: 4.7 million USD."
116,Ather Energy,https://tracxn.com/d/companies/ather-energy/__KnTDVjhwYR6EFUQOxBpPbdmAZ5556-PJY-lXZyrfGgg,India,"Electric vehicle manufacturer offering scooters and other models. It is a manufacturer of electric scooters and associated charging infrastructure offering various models and features. The company also develops and operates a fast-charging network for its vehicles. It provides additional services such as warranty programs covering battery degradation and roadside assistance. Smart helmets, merchandise, seat covers and other accessories are also part of the product portfolio.","Ather Energy joined the Unicorn Club on Aug 13, 2024 after raising a $71.5M Series E funding round led by , valuing it at $980M.",2024-08-13,2024,mobility,bangalore,Public,2013,11 years 7 months,139,NIIF,Herald Investment Management,GIC,"Herald Investment Management, GIC",0.502,,1790.0,1630.0,"Series E, Aug 13, 2024, $71.5M",Series E,2024,71.5,"Ather Energy is an Indian unicorn startup. It operates in the mobility sector. It is based in Bangalore. Current stage: Public. Electric vehicle manufacturer offering scooters and other models. It is a manufacturer of electric scooters and associated charging infrastructure offering various models and features. The company also develops and operates a fast-charging network for its vehicles. It provides additional services such as warranty programs covering battery degradation and roadside assistance. Smart helmets, merchandise, seat covers and other accessories are also part of the product portfolio. Ather Energy joined the Unicorn Club on Aug 13, 2024 after raising a $71.5M Series E funding round led by , valuing it at $980M. Founded in 2013. Time taken to reach unicorn status: 11 years 7 months. Joined the unicorn club on 2024-08-13. Became a unicorn in 2024. Investors include Herald Investment Management, GIC, latest round led by NIIF. Valuation: 0.502 billion USD. Annual revenue: 1790.0 crore INR. It employs approximately 1630 people. Latest funding round: Series E. The round took place in 2024. Round amount: 71.5 million USD."
115,Rapido,https://tracxn.com/d/companies/rapido/__u2bFpKhkCp_3jdzw9GH-jkMQR76G6diQhpvtZuTy_kE,India,"Platform offering bike taxi, auto rickshaw, and cab services. It includes features such quick bookings, real time tracking, and safety measures for urban commuting.?","Rapido joined the Unicorn Club on Jul 29, 2024",2024-07-29,2024,road_transport_tech,bangalore,Series E,2015,9 years 6 months,114,,WestBridge Capital,Invus,"WestBridge Capital, Invus",1.014,559.0,695.0,671.0,"Series E, Dec 27, 2024, $29.8M",Series E,2024,29.8,"Rapido is an Indian unicorn startup. It operates in the road_transport_tech sector. It is based in Bangalore. Current stage: Series E. Platform offering bike taxi, auto rickshaw, and cab services. It includes features such quick bookings, real time tracking, and safety measures for urban commuting.? Rapido joined the Unicorn Club on Jul 29, 2024 Founded in 2015. Time taken to reach unicorn status: 9 years 6 months. Joined the unicorn club on 2024-07-29. Became a unicorn in 2024. Investors include WestBridge Capital, Invus. Valuation: 1.014 billion USD. Total funding raised: 559.0 million USD. Annual revenue: 695.0 crore INR. It employs approximately 671 people. Latest funding round: Series E. The round took place in 2024. Round amount: 29.8 million USD."
114,Porter,https://tracxn.com/d/companies/porter/__4hfBdL0E0gWWywMOsTJBJNJfH5aoHyskfUXCRnRGer0,India,App-based platform offering on-demand trucking and relocation services. The platform offers intracity and intercity delivery services through two-wheeler and trucks. It provides a mobile application that allows users to provide the pickup and delivery location to deliver the goods. The platform enables users to select the delivery vehicle type and type of goods to be delivered. It allows users to track the delivery. The application is available on Apple Store and Google Play Store.,"Porter joined the Unicorn Club on May 16, 2024",2024-05-16,2024,logistics_tech,bangalore,Series F,2014,10 years 4 months,124,,Wellington,Lightstone Ventures,"Wellington, Lightstone Ventures",1.0,151.0,2770.0,2041.0,"Series F, May 08, 2025",Series F,2025,,"Porter is an Indian unicorn startup. It operates in the logistics_tech sector. It is based in Bangalore. Current stage: Series F. App-based platform offering on-demand trucking and relocation services. The platform offers intracity and intercity delivery services through two-wheeler and trucks. It provides a mobile application that allows users to provide the pickup and delivery location to deliver the goods. The platform enables users to select the delivery vehicle type and type of goods to be delivered. It allows users to track the delivery. The application is available on Apple Store and Google Play Store. Porter joined the Unicorn Club on May 16, 2024 Founded in 2014. Time taken to reach unicorn status: 10 years 4 months. Joined the unicorn club on 2024-05-16. Became a unicorn in 2024. Investors include Wellington, Lightstone Ventures. Valuation: 1.0 billion USD. Total funding raised: 151.0 million USD. Annual revenue: 2770.0 crore INR. It employs approximately 2041 people. Latest funding round: Series F. The round took place in 2025."
113,Perfios,https://tracxn.com/d/companies/perfios/__0EGHnw5jEzfIZ-KDeEr5khTEFVyDkM7UO0jshHHOrN8,India,"Provider of fintech solutions for digital onboarding, underwriting, and fraud prevention. It offers a suite of products including document analysis tools, KYC and KYB verification, AI-powered fraud detection, ITR and GST analyzer, video based personal discussion, policy details verification, documents due dilligence, deepfake detection, data collection and more. The solutions streamline operations and manage customer experiences across various industries, such as banking, insurance, and e-commerce. The companys offerings also encompass embedded finance solutions, risk assessment tools, and claims automation capabilities.","Perfios joined the Unicorn Club on Mar 13, 2024 after raising a $80M Series D funding round led by .",2024-03-13,2024,banking_tech,bangalore,Series D,2008,16 years 2 months,194,Ontario Teachers' Pension Plan,Alternative Lending,Investment Tech,"Alternative Lending, Investment Tech",0.927,263.0,569.0,1072.0,"Series D, Mar 13, 2024, $80M",Series D,2024,80.0,"Perfios is an Indian unicorn startup. It operates in the banking_tech sector. It is based in Bangalore. Current stage: Series D. Provider of fintech solutions for digital onboarding, underwriting, and fraud prevention. It offers a suite of products including document analysis tools, KYC and KYB verification, AI-powered fraud detection, ITR and GST analyzer, video based personal discussion, policy details verification, documents due dilligence, deepfake detection, data collection and more. The solutions streamline operations and manage customer experiences across various industries, such as banking, insurance, and e-commerce. The companys offerings also encompass embedded finance solutions, risk assessment tools, and claims automation capabilities. Perfios joined the Unicorn Club on Mar 13, 2024 after raising a $80M Series D funding round led by . Founded in 2008. Time taken to reach unicorn status: 16 years 2 months. Joined the unicorn club on 2024-03-13. Became a unicorn in 2024. Investors include Alternative Lending, Investment Tech, latest round led by Ontario Teachers' Pension Plan. Valuation: 0.927 billion USD. Total funding raised: 263.0 million USD. Annual revenue: 569.0 crore INR. It employs approximately 1072 people. Latest funding round: Series D. The round took place in 2024. Round amount: 80.0 million USD."
112,Krutrim,https://tracxn.com/d/companies/krutrim/__JfsrVc2TQCqAdHXKzx6bPk4-PyEcEhpIY5dCtwz3_ds,India,"Developer of Generative AI applications. It offers a platform for enterprises, researchers, and developers to build Generative AI applications. The platform provides managed access to model repository and AI compute. It is a large language model trained on multiple tokens, for understanding and generating content in multiple languages.","Krutrim joined the Unicorn Club on Jan 26, 2024 after raising a $50M Series B funding round led by .",2024-01-26,2024,generative_ai,bangalore,Series B,2023,1 year,12,Z47,AI Infrastructure,Z47,"AI Infrastructure, Z47",1.0,51.1,3.1,373.0,"Angel, Apr 12, 2024, $99.6K",Angel,2024,,"Krutrim is an Indian unicorn startup. It operates in the generative_ai sector. It is based in Bangalore. Current stage: Series B. Developer of Generative AI applications. It offers a platform for enterprises, researchers, and developers to build Generative AI applications. The platform provides managed access to model repository and AI compute. It is a large language model trained on multiple tokens, for understanding and generating content in multiple languages. Krutrim joined the Unicorn Club on Jan 26, 2024 after raising a $50M Series B funding round led by . Founded in 2023. Time taken to reach unicorn status: 1 year. Joined the unicorn club on 2024-01-26. Became a unicorn in 2024. Investors include AI Infrastructure, Z47, latest round led by Z47. Valuation: 1.0 billion USD. Total funding raised: 51.1 million USD. Annual revenue: 3.1 crore INR. It employs approximately 373 people. Latest funding round: Angel. The round took place in 2024."
111,InCred,https://tracxn.com/d/companies/incred/__s4e5BlNLhtpQH2fnG1vkRU-5CXm1QeufhBnVgSmzfx4,India,"Online platform offering diversified consumer and business loans. It mainly offers personal loans, education loans, and SME loans. It offers a completely online process for loan application and its annual interest rate is based on the loan terms, loan amount, and credit assessment of the borrower. It allows users to repay loans via credit or debit cards, bank transfers, and wallets.","InCred joined the Unicorn Club on Nov 09, 2023 after raising a $60.1M Series D funding round led by , .",2023-11-09,2023,fintech,mumbai,Series D,2016,7 years 10 months,94,Ranjan Pai,KKR,Barclays,"KKR, Barclays",1.04,318.0,,2004.0,"Conventional Debt, Mar 13, 2025, $30M",Conventional Debt,2025,30.0,"InCred is an Indian unicorn startup. It operates in the fintech sector. It is based in Mumbai. Current stage: Series D. Online platform offering diversified consumer and business loans. It mainly offers personal loans, education loans, and SME loans. It offers a completely online process for loan application and its annual interest rate is based on the loan terms, loan amount, and credit assessment of the borrower. It allows users to repay loans via credit or debit cards, bank transfers, and wallets. InCred joined the Unicorn Club on Nov 09, 2023 after raising a $60.1M Series D funding round led by , . Founded in 2016. Time taken to reach unicorn status: 7 years 10 months. Joined the unicorn club on 2023-11-09. Became a unicorn in 2023. Investors include KKR, Barclays, latest round led by Ranjan Pai. Valuation: 1.04 billion USD. Total funding raised: 318.0 million USD. It employs approximately 2004 people. Latest funding round: Conventional Debt. The round took place in 2025. Round amount: 30.0 million USD."
110,Zepto,https://tracxn.com/d/companies/zepto/__MywAn4omlIVSmoQGQd_una-z9EUqUZEdfFVcaSxbWZc,India,"Provider of rapid grocery delivery services. This company offers a platform for ordering groceries online and receiving delivery within minutes. The service includes a wide selection of grocery items, fresh produce, and other household goods. Customers can browse and select items through an app, add them to a cart, and complete their order for quick delivery. The business model focuses on speed and convenience, aiming to provide a fast and efficient grocery shopping experience.","Zepto joined the Unicorn Club on Aug 25, 2023 after raising a $200M Series E funding round led by , , valuing it at $1.4B.",2023-08-25,2023,online_grocery,bangalore,Series G,2020,3 years 7 months,43,StepStone Group,Glade Brook Capital,Rocket Internet,"Glade Brook Capital, Rocket Internet",5.0,1950.0,4500.0,5469.0,"Series G, Nov 21, 2024, $350M",Series G,2024,350.0,"Zepto is an Indian unicorn startup. It operates in the online_grocery sector. It is based in Bangalore. Current stage: Series G. Provider of rapid grocery delivery services. This company offers a platform for ordering groceries online and receiving delivery within minutes. The service includes a wide selection of grocery items, fresh produce, and other household goods. Customers can browse and select items through an app, add them to a cart, and complete their order for quick delivery. The business model focuses on speed and convenience, aiming to provide a fast and efficient grocery shopping experience. Zepto joined the Unicorn Club on Aug 25, 2023 after raising a $200M Series E funding round led by , , valuing it at $1.4B. Founded in 2020. Time taken to reach unicorn status: 3 years 7 months. Joined the unicorn club on 2023-08-25. Became a unicorn in 2023. Investors include Glade Brook Capital, Rocket Internet, latest round led by StepStone Group. Valuation: 5.0 billion USD. Total funding raised: 1950.0 million USD. Annual revenue: 4500.0 crore INR. It employs approximately 5469 people. Latest funding round: Series G. The round took place in 2024. Round amount: 350.0 million USD."
109,boAt,https://tracxn.com/d/companies/boat/__1-6OVEvWhIXhXscfbwOm0-i2W0wUXlKyhF6rf5bSZCI,India,"Platform offering wearable audio devices. Its a consumer goods company that designs and manufactures audio and wearable products, such as earbuds, headphones, and smartwatches. The company focuses on providing high-quality products with contemporary designs and innovative features. Its product includes headphones,earphone,wireless earbuds,neckbands,party speakers,smart watches,power banks,chargers and more.","boAt joined the Unicorn Club on Oct 28, 2022 after raising a $61.6M Series C funding round led by , , valuing it at $1.32B.",2022-10-28,2022,consumer_electronics_e-commerce,gurgaon,Series C,2016,6 years 9 months,81,Warburg Pincus,Audio Tech,Wearable Technology,"Audio Tech, Wearable Technology",0.171,,10800.0,,"Angel, Feb 01, 2024",Angel,2024,,"boAt is an Indian unicorn startup. It operates in the consumer_electronics_e-commerce sector. It is based in Gurgaon. Current stage: Series C. Platform offering wearable audio devices. Its a consumer goods company that designs and manufactures audio and wearable products, such as earbuds, headphones, and smartwatches. The company focuses on providing high-quality products with contemporary designs and innovative features. Its product includes headphones,earphone,wireless earbuds,neckbands,party speakers,smart watches,power banks,chargers and more. boAt joined the Unicorn Club on Oct 28, 2022 after raising a $61.6M Series C funding round led by , , valuing it at $1.32B. Founded in 2016. Time taken to reach unicorn status: 6 years 9 months. Joined the unicorn club on 2022-10-28. Became a unicorn in 2022. Investors include Audio Tech, Wearable Technology, latest round led by Warburg Pincus. Valuation: 0.171 billion USD. Annual revenue: 10800.0 crore INR. Latest funding round: Angel. The round took place in 2024."
